France,FRA,"Literacy rate, adult total (% of people ages 15 and above)",
Faroe Islands,FRO,"Literacy rate, adult total (% of people ages 15 and above)",
"Micronesia, Fed. Sts.",FSM,"Literacy rate, adult total (% of people ages 15 and above)",
Gabon,GAB,"Literacy rate, adult total (% of people ages 15 and above)",
United Kingdom,GBR,"Literacy rate, adult total (% of people ages 15 and above)",
Georgia,GEO,"Literacy rate, adult total (% of people ages 15 and above)",99.58619
Ghana,GHA,"Literacy rate, adult total (% of people ages 15 and above)",
Gibraltar,GIB,"Literacy rate, adult total (% of people ages 15 and above)",
Guinea,GIN,"Literacy rate, adult total (% of people ages 15 and above)",32.00384
"Gambia, The",GMB,"Literacy rate, adult total (% of people ages 15 and above)",
Guinea-Bissau,GNB,"Literacy rate, adult total (% of people ages 15 and above)",45.58116
Equatorial Guinea,GNQ,"Literacy rate, adult total (% of people ages 15 and above)",95
Greece,GRC,"Literacy rate, adult total (% of people ages 15 and above)",
Grenada,GRD,"Literacy rate, adult total (% of people ages 15 and above)",98.6
Greenland,GRL,"Literacy rate, adult total (% of people ages 15 and above)",
Guatemala,GTM,"Literacy rate, adult total (% of people ages 15 and above)",81.2859
Guam,GUM,"Literacy rate, adult total (% of people ages 15 and above)",
Guyana,GUY,"Literacy rate, adult total (% of people ages 15 and above)",85.63973
High income,HIC,"Literacy rate, adult total (% of people ages 15 and above)",
"Hong Kong SAR, China",HKG,"Literacy rate, adult total (% of people ages 15 and above)",
Honduras,HND,"Literacy rate, adult total (% of people ages 15 and above)",87.19753
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, adult total (% of people ages 15 and above)",59.90768
Croatia,HRV,"Literacy rate, adult total (% of people ages 15 and above)",
Haiti,HTI,"Literacy rate, adult total (% of people ages 15 and above)",
Hungary,HUN,"Literacy rate, adult total (% of people ages 15 and above)",99.1
IBRD only,IBD,"Literacy rate, adult total (% of people ages 15 and above)",88.12764
IDA & IBRD total,IBT,"Literacy rate, adult total (% of people ages 15 and above)",82.97848
IDA total,IDA,"Literacy rate, adult total (% of people ages 15 and above)",62.91562
IDA blend,IDB,"Literacy rate, adult total (% of people ages 15 and above)",65.15158
Indonesia,IDN,"Literacy rate, adult total (% of people ages 15 and above)",95.11622
IDA only,IDX,"Literacy rate, adult total (% of people ages 15 and above)",61.75931
Isle of Man,IMN,"Literacy rate, adult total (% of people ages 15 and above)",
India,IND,"Literacy rate, adult total (% of people ages 15 and above)",
Not classified,INX,"Literacy rate, adult total (% of people ages 15 and above)",
Ireland,IRL,"Literacy rate, adult total (% of people ages 15 and above)",
"Iran, Islamic Rep.",IRN,"Literacy rate, adult total (% of people ages 15 and above)",84.70524
Iraq,IRQ,"Literacy rate, adult total (% of people ages 15 and above)",
Iceland,ISL,"Literacy rate, adult total (% of people ages 15 and above)",
Israel,ISR,"Literacy rate, adult total (% of people ages 15 and above)",
Italy,ITA,"Literacy rate, adult total (% of people ages 15 and above)",
Jamaica,JAM,"Literacy rate, adult total (% of people ages 15 and above)",88.1
Jordan,JOR,"Literacy rate, adult total (% of people ages 15 and above)",
Japan,JPN,"Literacy rate, adult total (% of people ages 15 and above)",
Kazakhstan,KAZ,"Literacy rate, adult total (% of people ages 15 and above)",
Kenya,KEN,"Literacy rate, adult total (% of people ages 15 and above)",78.73304
Kyrgyz Republic,KGZ,"Literacy rate, adult total (% of people ages 15 and above)",
Cambodia,KHM,"Literacy rate, adult total (% of people ages 15 and above)",78.05509
Kiribati,KIR,"Literacy rate, adult total (% of people ages 15 and above)",
St. Kitts and Nevis,KNA,"Literacy rate, adult total (% of people ages 15 and above)",
"Korea, Rep.",KOR,"Literacy rate, adult total (% of people ages 15 and above)",
Kuwait,KWT,"Literacy rate, adult total (% of people ages 15 and above)",
Latin America & Caribbean (excluding high income),LAC,"Literacy rate, adult total (% of people ages 15 and above)",92.2644
Lao PDR,LAO,"Literacy rate, adult total (% of people ages 15 and above)",
Lebanon,LBN,"Literacy rate, adult total (% of people ages 15 and above)",
Liberia,LBR,"Literacy rate, adult total (% of people ages 15 and above)",
Libya,LBY,"Literacy rate, adult total (% of people ages 15 and above)",
St. Lucia,LCA,"Literacy rate, adult total (% of people ages 15 and above)",
Latin America & Caribbean,LCN,"Literacy rate, adult total (% of people ages 15 and above)",92.94435
Least developed countries: UN classification,LDC,"Literacy rate, adult total (% of people ages 15 and above)",60.15597
Low income,LIC,"Literacy rate, adult total (% of people ages 15 and above)",60.90361
Liechtenstein,LIE,"Literacy rate, adult total (% of people ages 15 and above)",
Sri Lanka,LKA,"Literacy rate, adult total (% of people ages 15 and above)",
Lower middle income,LMC,"Literacy rate, adult total (% of people ages 15 and above)",74.84184
Low & middle income,LMY,"Literacy rate, adult total (% of people ages 15 and above)",82.78633
Lesotho,LSO,"Literacy rate, adult total (% of people ages 15 and above)",76.6352
Late-demographic dividend,LTE,"Literacy rate, adult total (% of people ages 15 and above)",95.53109
Lithuania,LTU,"Literacy rate, adult total (% of people ages 15 and above)",
Luxembourg,LUX,"Literacy rate, adult total (% of people ages 15 and above)",
Latvia,LVA,"Literacy rate, adult total (% of people ages 15 and above)",
"Macao SAR, China",MAC,"Literacy rate, adult total (% of people ages 15 and above)",
St. Martin (French part),MAF,"Literacy rate, adult total (% of people ages 15 and above)",
Morocco,MAR,"Literacy rate, adult total (% of people ages 15 and above)",
Monaco,MCO,"Literacy rate, adult total (% of people ages 15 and above)",
Moldova,MDA,"Literacy rate, adult total (% of people ages 15 and above)",99.35989
Madagascar,MDG,"Literacy rate, adult total (% of people ages 15 and above)",
Maldives,MDV,"Literacy rate, adult total (% of people ages 15 and above)",98.61012
Middle East & North Africa,MEA,"Literacy rate, adult total (% of people ages 15 and above)",78.74318
Mexico,MEX,"Literacy rate, adult total (% of people ages 15 and above)",94.55588
Marshall Islands,MHL,"Literacy rate, adult total (% of people ages 15 and above)",
Middle income,MIC,"Literacy rate, adult total (% of people ages 15 and above)",84.87823
North Macedonia,MKD,"Literacy rate, adult total (% of people ages 15 and above)",97.8
Mali,MLI,"Literacy rate, adult total (% of people ages 15 and above)",
Malta,MLT,"Literacy rate, adult total (% of people ages 15 and above)",
Myanmar,MMR,"Literacy rate, adult total (% of people ages 15 and above)",
Middle East & North Africa (excluding high income),MNA,"Literacy rate, adult total (% of people ages 15 and above)",75.96811
Montenegro,MNE,"Literacy rate, adult total (% of people ages 15 and above)",
Mongolia,MNG,"Literacy rate, adult total (% of people ages 15 and above)",
Northern Mariana Islands,MNP,"Literacy rate, adult total (% of people ages 15 and above)",
Mozambique,MOZ,"Literacy rate, adult total (% of people ages 15 and above)",
Mauritania,MRT,"Literacy rate, adult total (% of people ages 15 and above)",
Mauritius,MUS,"Literacy rate, adult total (% of people ages 15 and above)",92.47476
Malawi,MWI,"Literacy rate, adult total (% of people ages 15 and above)",65.14537
Malaysia,MYS,"Literacy rate, adult total (% of people ages 15 and above)",
North America,NAC,"Literacy rate, adult total (% of people ages 15 and above)",
Namibia,NAM,"Literacy rate, adult total (% of people ages 15 and above)",
New Caledonia,NCL,"Literacy rate, adult total (% of people ages 15 and above)",97.8
Niger,NER,"Literacy rate, adult total (% of people ages 15 and above)",
Nigeria,NGA,"Literacy rate, adult total (% of people ages 15 and above)",
Nicaragua,NIC,"Literacy rate, adult total (% of people ages 15 and above)",
Netherlands,NLD,"Literacy rate, adult total (% of people ages 15 and above)",
Norway,NOR,"Literacy rate, adult total (% of people ages 15 and above)",
Nepal,NPL,"Literacy rate, adult total (% of people ages 15 and above)",
Nauru,NRU,"Literacy rate, adult total (% of people ages 15 and above)",
New Zealand,NZL,"Literacy rate, adult total (% of people ages 15 and above)",
OECD members,OED,"Literacy rate, adult total (% of people ages 15 and above)",
Oman,OMN,"Literacy rate, adult total (% of people ages 15 and above)",91.9812
Other small states,OSS,"Literacy rate, adult total (% of people ages 15 and above)",83.08374
Pakistan,PAK,"Literacy rate, adult total (% of people ages 15 and above)",56.97715
Panama,PAN,"Literacy rate, adult total (% of people ages 15 and above)",
Peru,PER,"Literacy rate, adult total (% of people ages 15 and above)",93.70795
Philippines,PHL,"Literacy rate, adult total (% of people ages 15 and above)",
Palau,PLW,"Literacy rate, adult total (% of people ages 15 and above)",
Papua New Guinea,PNG,"Literacy rate, adult total (% of people ages 15 and above)",
Poland,POL,"Literacy rate, adult total (% of people ages 15 and above)",
Pre-demographic dividend,PRE,"Literacy rate, adult total (% of people ages 15 and above)",59.71051
Puerto Rico,PRI,"Literacy rate, adult total (% of people ages 15 and above)",
"Korea, Dem. People’s Rep.",PRK,"Literacy rate, adult total (% of people ages 15 and above)",
Portugal,PRT,"Literacy rate, adult total (% of people ages 15 and above)",
Paraguay,PRY,"Literacy rate, adult total (% of people ages 15 and above)",95.03481
West Bank and Gaza,PSE,"Literacy rate, adult total (% of people ages 15 and above)",96.42839
Pacific island small states,PSS,"Literacy rate, adult total (% of people ages 15 and above)",
Post-demographic dividend,PST,"Literacy rate, adult total (% of people ages 15 and above)",
French Polynesia,PYF,"Literacy rate, adult total (% of people ages 15 and above)",
Qatar,QAT,"Literacy rate, adult total (% of people ages 15 and above)",91.32722
Romania,ROU,"Literacy rate, adult total (% of people ages 15 and above)",
Russian Federation,RUS,"Literacy rate, adult total (% of people ages 15 and above)",
Rwanda,RWA,"Literacy rate, adult total (% of people ages 15 and above)",70.80413
South Asia,SAS,"Literacy rate, adult total (% of people ages 15 and above)",68.73481
Saudi Arabia,SAU,"Literacy rate, adult total (% of people ages 15 and above)",
Sudan,SDN,"Literacy rate, adult total (% of people ages 15 and above)",
Senegal,SEN,"Literacy rate, adult total (% of people ages 15 and above)",
Singapore,SGP,"Literacy rate, adult total (% of people ages 15 and above)",96.71666
Solomon Islands,SLB,"Literacy rate, adult total (% of people ages 15 and above)",
